fixture,category,node_count,group,tool,format,raster_density,primary,eligible,expected_measured,measured_attempts,successes,failures,missing_measurements,median_ms,ci95_low_ms,ci95_high_ms,min_ms,q25_ms,q75_ms,p95_ms,max_ms,measured_output_hash_count,output_stable,output
basic_100,basic,100,basic-100-svg,plantuml-dot,svg,,True,True,20,20,20,0,0,910.7471665,900.7630409999999,922.664917,881.608625,898.8781245,925.22252075,978.12413125,1023.216,1,True,renders/plantuml-dot/basic_100.svg
fulcro_rad,real-world,19,png-primary,d2-dagre,png,2.0,True,True,20,20,20,0,0,141.267646,139.980792,146.403896,137.193167,139.56189575,147.8700725,204.19989760000007,277.132625,1,True,renders/d2-dagre/fulcro_rad.png
fulcro_rad,real-world,19,svg,d2-dagre,svg,,True,True,20,20,20,0,0,27.767146,26.819271,32.0383545,25.858875,26.6617505,37.068323,49.56994760000004,105.223125,1,True,renders/d2-dagre/fulcro_rad.svg
fulcro_rad,real-world,19,png-primary,mermaid-dagre,png,2.0,True,True,20,20,20,0,0,532.184396,524.916708,539.903146,510.058292,523.92116675,540.67265625,556.4353202000001,588.688375,1,True,renders/mermaid-dagre/fulcro_rad.png
fulcro_rad,real-world,19,svg,mermaid-dagre,svg,,True,True,20,20,20,0,0,398.5671255,393.517896,401.8881665,383.225333,391.2980415,403.14648950000003,417.0407476,419.00325,1,True,renders/mermaid-dagre/fulcro_rad.svg
fulcro_rad,real-world,19,png-primary,graphviz-dot,png,2.0,True,True,20,20,20,0,0,209.04362500000002,205.586604,213.75047899999998,199.771416,204.64121899999998,214.05701,264.6791274000001,329.38525,1,True,renders/graphviz-dot/fulcro_rad.png
fulcro_rad,real-world,19,svg,graphviz-dot,svg,,True,True,20,20,20,0,0,76.644875,74.1755,78.4686875,70.416666,73.6561875,78.93678175,89.04589405,96.077833,1,True,renders/graphviz-dot/fulcro_rad.svg
fulcro_rad,real-world,19,png-primary,plantuml-dot,png,2.0,True,True,20,20,20,0,0,1161.078208,1154.8995005000002,1186.6095,1138.322458,1153.86749,1194.699823,1427.3146577000002,1787.66375,1,True,renders/plantuml-dot/fulcro_rad.png
fulcro_rad,real-world,19,svg,plantuml-dot,svg,,True,True,20,20,20,0,0,879.2538125,865.777833,905.7236459999999,851.582583,864.6943954999999,908.4197919999999,985.8274577000002,1294.936875,1,True,renders/plantuml-dot/fulcro_rad.svg
jupyter_aws_eks,real-world,12,png-primary,d2-dagre,png,2.0,True,True,20,20,20,0,0,99.6534585,98.116479,101.332583,96.046292,97.90396875,102.00189549999999,105.26359230000001,126.137625,1,True,renders/d2-dagre/jupyter_aws_eks.png
jupyter_aws_eks,real-world,12,svg,d2-dagre,svg,,True,True,20,20,20,0,0,21.300458,20.787042,22.576583,19.942875,20.70710425,22.858510250000002,35.32432645,38.39825,1,True,renders/d2-dagre/jupyter_aws_eks.svg
jupyter_aws_eks,real-world,12,png-primary,mermaid-dagre,png,2.0,True,True,20,20,20,0,0,513.377896,502.50283349999995,518.5628750000001,493.383833,498.16716675,520.70083325,587.7912902,613.839458,1,True,renders/mermaid-dagre/jupyter_aws_eks.png
jupyter_aws_eks,real-world,12,svg,mermaid-dagre,svg,,True,True,20,20,20,0,0,401.74652100000003,397.54125,408.34056250000003,383.71475,396.6502395,409.36979125,435.242891,451.819916,1,True,renders/mermaid-dagre/jupyter_aws_eks.svg
jupyter_aws_eks,real-world,12,png-primary,graphviz-dot,png,2.0,True,True,20,20,20,0,0,172.52518750000002,168.679938,177.27631250000002,164.08225,168.38282325,178.962167,217.20919230000024,523.51025,1,True,renders/graphviz-dot/jupyter_aws_eks.png
