fixture,tool,format,raster_density,primary,previous_median_ms,current_median_ms,latency_change_percent,speedup,previous_width,previous_height,current_width,current_height,output_unchanged
jupyter_aws_eks,d2-tala,svg,,True,29.639833,31.0626665,4.800409975319364,0.9541947404933829,,,,,True
jupyter_aws_eks,mermaid-dagre,png,2.0,True,516.7412915,554.3732295,7.2825490470795895,0.9321180461149955,3592,2704,3592,2704,True
jupyter_aws_eks,mermaid-dagre,svg,,True,399.851229,448.583979,12.187720448397066,0.8913631509786933,1795.5625,1352,1795.5625,1352,True
jupyter_aws_eks,graphviz-dot,png,2.0,True,171.47397899999999,175.6010625,2.406827860453409,0.9764973887900021,2840,2082,2840,2082,True
jupyter_aws_eks,graphviz-dot,svg,,True,77.4870205,78.135771,0.8372376377538071,0.9916971383055783,1065pt,781pt,1065pt,781pt,True
jupyter_aws_eks,plantuml-dot,png,2.0,True,1163.3594375,1210.599625,4.060669985324306,0.9609778604548964,2720,2058,2720,2058,True
jupyter_aws_eks,plantuml-dot,svg,,True,879.088083,890.5130624999999,1.2996399019550742,0.9871703403564617,1361px,1030px,1361px,1030px,True
jupyter_k8s_oidc,d2-dagre,png,2.0,True,126.2723125,126.243208,-0.02304899579629316,1.0002305430958314,3784,2830,3784,2830,True
jupyter_k8s_oidc,d2-dagre,svg,,True,21.191375,21.3079375,0.550046894078382,0.9945296207105919,,,,,True
jupyter_k8s_oidc,d2-tala,png,2.0,True,127.5090625,131.13010400000002,2.839830698308221,0.9723858870728874,3904,2830,3904,2830,True
jupyter_k8s_oidc,d2-tala,svg,,True,34.691271,33.923979,-2.2117725234108487,1.0226179835802869,,,,,True
jupyter_k8s_oidc,mermaid-dagre,png,2.0,True,662.182896,712.4565210000001,7.592105640856062,0.9294362202911186,4410,4624,4410,4624,True
jupyter_k8s_oidc,mermaid-dagre,svg,,True,432.5377085,458.3432915,5.966088619068932,0.943698133083726,2204.921875,2312,2204.921875,2312,True
jupyter_k8s_oidc,graphviz-dot,png,2.0,True,299.293146,302.0411045,0.9181494921370659,0.9909020379707953,2572,3971,2572,3971,True
jupyter_k8s_oidc,graphviz-dot,svg,,True,78.22981250000001,80.5563335,2.9739570192629294,0.9711193285627878,965pt,1489pt,965pt,1489pt,True
jupyter_k8s_oidc,plantuml-dot,png,2.0,True,1247.394125,1269.032625,1.7346963214212696,0.9829488229272277,4070,1794,4070,1794,True
jupyter_k8s_oidc,plantuml-dot,svg,,True,885.2748750000001,919.6924795,3.887787338367632,0.9625770512783671,2036px,898px,2036px,898px,True
leios_simulator,d2-dagre,png,2.0,True,239.019354,249.7732705,4.4991823130774655,0.9569452869057099,4776,3690,4776,3690,True
leios_simulator,d2-dagre,svg,,True,24.228624500000002,25.937333,7.052437087379837,0.9341216577664327,,,,,True
leios_simulator,d2-tala,png,2.0,True,295.038187,303.2272915,2.7756083316767377,0.9729935110408755,5756,3748,5756,3748,True
leios_simulator,d2-tala,svg,,True,43.104833,42.245875,-1.9927185427211835,1.0203323519751928,,,,,True
leios_simulator,mermaid-dagre,png,2.0,True,651.44,682.5234164999999,4.771493383887981,0.954458095138484,3090,5836,3090,5836,True
