tool,group,fixtures,previous_ms,current_ms,previous_over_current,paired_round_ci95
d2-dagre,basic-2-png-primary,['basic_002'],20.760374999999996,20.017728999999996,1.0370994132251465,"[1.0159572599652515, 1.0703452968950697]"
d2-dagre,basic-2-svg,['basic_002'],17.3285625,17.179978999999996,1.0086486427020664,"[0.9834276985454417, 1.0372246947198993]"
d2-dagre,basic-10-png-primary,['basic_010'],41.95487500000001,41.159791999999996,1.0193169829429656,"[0.9978996376943374, 1.0481518781653385]"
d2-dagre,basic-10-svg,['basic_010'],18.149292000000003,17.911895500000004,1.0132535666032665,"[0.989825571343297, 1.0287173121949844]"
d2-dagre,basic-100-png-primary,['basic_100'],464.2131455000001,523.4516665000001,0.8868309630264594,"[0.874108594209886, 0.9041840714612033]"
d2-dagre,basic-100-svg,['basic_100'],26.8066665,25.855541999999996,1.0367860979282508,"[1.0123436925656886, 1.07627368769114]"
d2-dagre,png-primary,"['fulcro_rad', 'jupyter_aws_eks', 'jupyter_k8s_oidc', 'leios_simulator', 'lion_reader_frontend', 'mocha_soc', 'queue_workers', 'ross_overview', 'spyre_encoder']",263.74045165767035,260.43188029491415,1.0127041718510406,"[1.0067547183528336, 1.0214669090848403]"
d2-dagre,svg,"['fulcro_rad', 'jupyter_aws_eks', 'jupyter_k8s_oidc', 'leios_simulator', 'lion_reader_frontend', 'mocha_soc', 'queue_workers', 'ross_overview', 'spyre_encoder', 'tpmjs_architecture']",30.35300504034204,28.627051187410974,1.060291010821613,"[1.0480464955127098, 1.068671586057954]"
d2-dagre,png-supplemental,['tpmjs_architecture'],367.29281249999997,302.33172949999994,1.2148669049968175,"[1.191237800487737, 1.229453531439544]"
d2-tala,basic-2-png-primary,['basic_002'],24.930166499999995,25.05075,0.9951864315439655,"[0.958952934649865, 1.0161241187665935]"
d2-tala,basic-2-svg,['basic_002'],21.464875000000003,21.190895499999996,1.012929113826266,"[0.9833922526326307, 1.0218805190412705]"
d2-tala,basic-10-png-primary,['basic_010'],37.344021000000005,37.09879150000001,1.0066101748893894,"[0.9767168311261368, 1.038504598622879]"
d2-tala,basic-10-svg,['basic_010'],21.290937500000002,20.772896000000006,1.0249383379187955,"[1.0041759895839069, 1.071841063202751]"
d2-tala,basic-100-png-primary,['basic_100'],402.1252920000001,371.2136040000002,1.0832719697417121,"[1.0274626806530835, 1.1104764775548208]"
d2-tala,basic-100-svg,['basic_100'],135.89312500000003,107.46404200000003,1.2645450745282778,"[1.2494637239437931, 1.3248079421053547]"
d2-tala,png-primary,"['fulcro_rad', 'jupyter_aws_eks', 'jupyter_k8s_oidc', 'leios_simulator', 'lion_reader_frontend', 'mocha_soc', 'queue_workers', 'ross_overview', 'spyre_encoder']",302.77777107033313,296.14285000303664,1.0224044614523986,"[1.011369049796625, 1.0325865727570749]"
d2-tala,svg,"['fulcro_rad', 'jupyter_aws_eks', 'jupyter_k8s_oidc', 'leios_simulator', 'lion_reader_frontend', 'mocha_soc', 'queue_workers', 'ross_overview', 'spyre_encoder', 'tpmjs_architecture']",126.2556963348765,119.09366318352747,1.0601378189225072,"[1.0501839068426486, 1.0842966981019397]"
d2-tala,png-supplemental,['tpmjs_architecture'],3795.295458000002,2780.0463120000004,1.3651914508106229,"[1.3226595252288513, 1.4130131977175107]"
