job,group,previous_ms,current_ms,previous_over_current,paired_ci95_low,paired_ci95_high
basic_002/d2-dagre/png,basic-2-png-primary,20.760375,20.017729,1.0370994132251465,1.0159572599652515,1.0703452968950697
basic_002/d2-dagre/svg,basic-2-svg,17.3285625,17.179979,1.0086486427020662,0.9834276985454417,1.0372246947198993
basic_010/d2-dagre/png,basic-10-png-primary,41.954875,41.159791999999996,1.0193169829429654,0.9978996376943374,1.0481518781653385
basic_010/d2-dagre/svg,basic-10-svg,18.149292,17.9118955,1.0132535666032665,0.989825571343297,1.0287173121949844
basic_100/d2-dagre/png,basic-100-png-primary,464.2131455,523.4516665000001,0.8868309630264591,0.874108594209886,0.9041840714612033
basic_100/d2-dagre/svg,basic-100-svg,26.8066665,25.855542,1.0367860979282506,1.0123436925656886,1.07627368769114
fulcro_rad/d2-dagre/png,png-primary,143.2349585,131.351875,1.0904675589899269,1.080570738420331,1.1220857533623783
jupyter_aws_eks/d2-dagre/png,png-primary,100.2444375,97.901104,1.0239357208882955,1.0025707930954562,1.0384685595546388
jupyter_k8s_oidc/d2-dagre/png,png-primary,124.4464375,117.387146,1.0601368355952703,1.0334752753874066,1.0839019708144095
leios_simulator/d2-dagre/png,png-primary,236.836375,241.0772915,0.9824084779051038,0.9636128021023257,0.9969475577918544
lion_reader_frontend/d2-dagre/png,png-primary,426.61287500000003,401.123,1.0635462813152077,1.0509080214441318,1.0790972316626872
mocha_soc/d2-dagre/png,png-primary,432.948958,431.5463545,1.0032501803928457,0.9923509480772233,1.0137974326466768
queue_workers/d2-dagre/png,png-primary,551.4712079999999,556.608521,0.9907703299425413,0.9761300147152019,1.0262647203692985
ross_overview/d2-dagre/png,png-primary,447.355979,494.67733350000003,0.9043389472382202,0.8929394999552647,0.9205443427340081
spyre_encoder/d2-dagre/png,png-primary,320.187063,317.73841649999997,1.0077064855014157,0.9948041575732949,1.015170294603715
fulcro_rad/d2-dagre/svg,svg,27.270479,26.7625205,1.0189802189969364,0.9978193038597648,1.038934857729001
jupyter_aws_eks/d2-dagre/svg,svg,21.67275,21.207229499999997,1.0219510285395839,0.9815037783664156,1.058820493925799
