fixture,category,node_count,group,tool,format,raster_density,primary,eligible,expected_measured,measured_attempts,successes,failures,missing_measurements,median_ms,ci95_low_ms,ci95_high_ms,min_ms,q25_ms,q75_ms,p95_ms,max_ms,measured_output_hash_count,output_stable,output
basic_100,basic,100,basic-100-svg,d2-tala,svg,,True,True,20,20,20,0,0,98.0642505,96.9334236,99.0584795,94.299833,96.65491675,100.37709425,110.1449726,115.842875,1,True,renders/d2-tala/basic_100.svg
basic_100,basic,100,basic-100-png-primary,mermaid-dagre,png,2.0,True,True,20,20,20,0,0,747.321083,740.9647084999999,761.673792,727.542042,740.09996875,763.125542,823.6944354000002,1161.812458,1,True,renders/mermaid-dagre/basic_100.png
basic_100,basic,100,basic-100-svg,mermaid-dagre,svg,,True,True,20,20,20,0,0,510.77329199999997,501.426125,520.9239375,490.2145,500.60433325,521.0938435,535.3015856999999,539.539416,1,True,renders/mermaid-dagre/basic_100.svg
basic_100,basic,100,basic-100-png-primary,graphviz-dot,png,2.0,True,True,20,20,20,0,0,313.42081299999995,310.66525,320.370313,304.520709,310.104989,321.84157300000004,332.89998095,336.296667,1,True,renders/graphviz-dot/basic_100.png
basic_100,basic,100,basic-100-svg,graphviz-dot,svg,,True,True,20,20,20,0,0,68.936125,66.463437,70.10675,63.24375,66.21449975,70.28192725,80.75212739999999,86.50125,1,True,renders/graphviz-dot/basic_100.svg
basic_100,basic,100,basic-100-png-primary,plantuml-dot,png,2.0,True,True,20,20,20,0,0,1364.9264585,1335.6862285,1391.0235834999999,1292.046042,1332.6316455,1393.83520875,1439.174733,1456.379708,1,True,renders/plantuml-dot/basic_100.png
basic_100,basic,100,basic-100-svg,plantuml-dot,svg,,True,True,20,20,20,0,0,957.7868129999999,951.955667,970.7900205,917.554583,949.736084,973.47385425,990.7446146000001,1118.585917,1,True,renders/plantuml-dot/basic_100.svg
fulcro_rad,real-world,19,png-primary,d2-dagre,png,2.0,True,True,20,20,20,0,0,130.35583400000002,128.7569795,139.11975,126.220916,128.4407815,142.945146,148.07888605,151.229125,1,True,renders/d2-dagre/fulcro_rad.png
fulcro_rad,real-world,19,svg,d2-dagre,svg,,True,True,20,20,20,0,0,26.968833500000002,26.0456045,27.535666499999998,25.275584,25.682323,27.7015205,40.32475415,41.645333,1,True,renders/d2-dagre/fulcro_rad.svg
fulcro_rad,real-world,19,png-primary,d2-tala,png,2.0,True,True,20,20,20,0,0,234.095854,232.441396,241.5523335,228.044,231.85860399999999,245.188219,253.59185590000004,295.655916,1,True,renders/d2-tala/fulcro_rad.png
fulcro_rad,real-world,19,svg,d2-tala,svg,,True,True,20,20,20,0,0,130.6929585,122.1035205,139.341042,118.376583,121.491479,140.3488545,147.87766105000003,159.24825,1,True,renders/d2-tala/fulcro_rad.svg
fulcro_rad,real-world,19,png-primary,mermaid-dagre,png,2.0,True,True,20,20,20,0,0,538.534271,532.955584,553.089354,517.535834,532.8057817499999,558.1102187500001,641.3456452000003,985.565875,1,True,renders/mermaid-dagre/fulcro_rad.png
fulcro_rad,real-world,19,svg,mermaid-dagre,svg,,True,True,20,20,20,0,0,397.194542,392.0786035,401.44293700000003,385.431292,391.1070515,402.220604,421.4484146,438.420917,1,True,renders/mermaid-dagre/fulcro_rad.svg
fulcro_rad,real-world,19,png-primary,graphviz-dot,png,2.0,True,True,20,20,20,0,0,210.131667,207.1566875,224.3070415,204.021208,206.325052,224.54417675,230.40971075000002,230.524542,1,True,renders/graphviz-dot/fulcro_rad.png
fulcro_rad,real-world,19,svg,graphviz-dot,svg,,True,True,20,20,20,0,0,77.9461665,76.725729,82.6241665,70.884792,76.32879175,84.7278855,95.25427085000005,179.655042,1,True,renders/graphviz-dot/fulcro_rad.svg
fulcro_rad,real-world,19,png-primary,plantuml-dot,png,2.0,True,True,20,20,20,0,0,1215.591792,1199.84025,1226.579792,1141.363583,1198.0941252500002,1228.6251045,1263.83023125,1265.468625,1,True,renders/plantuml-dot/fulcro_rad.png
fulcro_rad,real-world,19,svg,plantuml-dot,svg,,True,True,20,20,20,0,0,929.3798125000001,920.7343125,936.461646,869.358583,918.77758325,937.53315625,973.9589899000001,1155.372375,1,True,renders/plantuml-dot/fulcro_rad.svg
jupyter_aws_eks,real-world,12,png-primary,d2-dagre,png,2.0,True,True,20,20,20,0,0,99.706271,97.163563,101.86944253749992,95.19125,96.97093774999999,103.000552,132.9816098000001,238.347417,1,True,renders/d2-dagre/jupyter_aws_eks.png
jupyter_aws_eks,real-world,12,svg,d2-dagre,svg,,True,True,20,20,20,0,0,22.043333,20.87775,23.504963024999984,20.550208,20.868447749999998,24.03644775,33.94852945,36.168916,1,True,renders/d2-dagre/jupyter_aws_eks.svg
jupyter_aws_eks,real-world,12,png-primary,d2-tala,png,2.0,True,True,20,20,20,0,0,109.17375,107.82593800000001,117.21660399999999,104.583291,107.694292,121.67926,132.4200708,138.178416,1,True,renders/d2-tala/jupyter_aws_eks.png
jupyter_aws_eks,real-world,12,svg,d2-tala,svg,,True,True,20,20,20,0,0,27.978749999999998,27.624875,29.271895999999998,26.2855,27.46407275,29.679667,45.13558125,47.12975,1,True,renders/d2-tala/jupyter_aws_eks.svg
jupyter_aws_eks,real-world,12,png-primary,mermaid-dagre,png,2.0,True,True,20,20,20,0,0,519.1390625,513.084557975,533.5320835,494.991084,512.5799687499999,538.2637392500001,582.09444825,598.898167,1,True,renders/mermaid-dagre/jupyter_aws_eks.png
jupyter_aws_eks,real-world,12,svg,mermaid-dagre,svg,,True,True,20,20,20,0,0,396.722479,386.329125,402.037354,377.645125,384.63756225000003,403.03709375,421.850533,422.495583,1,True,renders/mermaid-dagre/jupyter_aws_eks.svg
jupyter_aws_eks,real-world,12,png-primary,graphviz-dot,png,2.0,True,True,20,20,20,0,0,174.219438,171.369312,180.697,165.880541,170.84356200000002,182.1713855,194.1769816,197.011584,1,True,renders/graphviz-dot/jupyter_aws_eks.png
jupyter_aws_eks,real-world,12,svg,graphviz-dot,svg,,True,True,20,20,20,0,0,78.3988335,76.320542,79.90006249999999,71.41975,75.93549025,80.94643775,96.70193095,110.065542,1,True,renders/graphviz-dot/jupyter_aws_eks.svg
jupyter_aws_eks,real-world,12,png-primary,plantuml-dot,png,2.0,True,True,20,20,20,0,0,1212.8927079999999,1199.4994375,1228.8184375,1152.718583,1191.93250025,1238.63658275,1253.7795944000002,1276.216417,1,True,renders/plantuml-dot/jupyter_aws_eks.png
jupyter_aws_eks,real-world,12,svg,plantuml-dot,svg,,True,True,20,20,20,0,0,915.509,910.957958,922.306292,845.833125,906.31067675,924.90964575,940.8465851,965.964625,1,True,renders/plantuml-dot/jupyter_aws_eks.svg
jupyter_k8s_oidc,real-world,23,png-primary,d2-dagre,png,2.0,True,True,20,20,20,0,0,119.277354,114.7701045,133.8891665,113.156167,114.36626050000001,134.33783325,137.47784135,138.344875,1,True,renders/d2-dagre/jupyter_k8s_oidc.png
